timeStemp,Label,AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP1_StdDev (mm),AP2_StdDev (mm),AP3_StdDev (mm),AP4_StdDev (mm)
33824855,1-10,-541.0,9339.0,10213.0,5907.0,-57.0,-80.0,-67.0,-57.0,97.0,705.0,1783.0,95.0
33824868,1-10,-386.0,10796.0,14834.0,6643.0,-57.0,-80.0,-68.0,-56.0,106.0,120.0,115.0,196.0
33824879,1-10,-180.0,9829.0,12568.0,6730.0,-58.0,-79.0,-67.0,-53.0,375.0,600.0,2304.0,1563.0
33824891,1-10,-297.0,9214.0,8688.0,4442.0,-59.0,-77.0,-61.0,-61.0,378.0,1307.0,883.0,410.0
33824920,1-10,-180.0,8071.0,9163.0,5633.0,-59.0,-75.0,-62.0,-56.0,253.0,1292.0,545.0,217.0
33824947,1-10,132.0,8013.0,9189.0,6141.0,-58.0,-75.0,-64.0,-58.0,298.0,1218.0,487.0,896.0
33824974,1-10,-102.0,8247.0,9072.0,4530.0,-57.0,-75.0,-62.0,-62.0,319.0,383.0,540.0,263.0
33825001,1-10,15.0,8130.0,9033.0,5868.0,-57.0,-76.0,-63.0,-60.0,309.0,587.0,573.0,650.0
33825014,1-10,-219.0,8071.0,8916.0,5496.0,-58.0,-76.0,-64.0,-60.0,211.0,321.0,552.0,264.0
33825028,1-10,-102.0,8159.0,9111.0,5350.0,-57.0,-76.0,-64.0,-60.0,237.0,1305.0,444.0,681.0
33825043,1-10,14.0,7983.0,9033.0,5233.0,-58.0,-76.0,-64.0,-61.0,264.0,455.0,612.0,648.0
33825057,1-10,53.0,8247.0,8994.0,5526.0,-57.0,-75.0,-63.0,-61.0,318.0,1340.0,578.0,505.0
33825071,1-10,-102.0,8159.0,9072.0,5438.0,-59.0,-76.0,-61.0,-61.0,339.0,326.0,425.0,338.0
33825085,1-10,-141.0,8100.0,9033.0,5409.0,-59.0,-77.0,-63.0,-61.0,299.0,1277.0,484.0,335.0
33825099,1-10,-102.0,8100.0,8916.0,5262.0,-57.0,-76.0,-64.0,-61.0,321.0,274.0,714.0,689.0
33825113,1-10,-102.0,8218.0,8994.0,5438.0,-57.0,-75.0,-63.0,-56.0,261.0,1335.0,634.0,727.0
33825127,1-10,-102.0,7983.0,9111.0,5496.0,-58.0,-76.0,-64.0,-61.0,328.0,1233.0,516.0,447.0
33825141,1-10,93.0,8042.0,8955.0,5291.0,-59.0,-76.0,-64.0,-61.0,195.0,419.0,591.0,758.0
33825155,1-10,53.0,8159.0,9033.0,5262.0,-58.0,-75.0,-63.0,-61.0,164.0,934.0,557.0,750.0
33825169,1-10,-63.0,8159.0,8994.0,5409.0,-58.0,-75.0,-64.0,-61.0,187.0,1269.0,506.0,431.0
33825183,1-10,-180.0,8159.0,9033.0,5291.0,-58.0,-76.0,-64.0,-61.0,249.0,1204.0,582.0,443.0
33825197,1-10,14.0,8188.0,8994.0,5321.0,-59.0,-76.0,-64.0,-61.0,202.0,350.0,565.0,526.0
33825212,1-10,53.0,8130.0,9072.0,5438.0,-59.0,-76.0,-64.0,-60.0,184.0,473.0,536.0,547.0
33825227,1-10,-24.0,8218.0,9111.0,6336.0,-58.0,-75.0,-65.0,-58.0,261.0,956.0,516.0,1365.0
33825240,1-10,-180.0,8042.0,8994.0,5526.0,-57.0,-75.0,-64.0,-58.0,336.0,478.0,653.0,1091.0
33825253,1-10,-63.0,8100.0,8994.0,5643.0,-58.0,-75.0,-64.0,-60.0,286.0,1318.0,624.0,328.0
33825265,1-10,93.0,8130.0,9072.0,5555.0,-58.0,-75.0,-62.0,-60.0,196.0,1342.0,673.0,456.0
33825278,1-10,-102.0,8130.0,9033.0,5350.0,-58.0,-75.0,-64.0,-60.0,229.0,210.0,605.0,584.0
33825290,1-10,-63.0,8276.0,8955.0,5321.0,-57.0,-75.0,-62.0,-61.0,296.0,868.0,585.0,565.0
33825302,1-10,-141.0,8159.0,9033.0,5321.0,-57.0,-76.0,-63.0,-61.0,400.0,230.0,498.0,706.0
33825315,1-10,54.0,8218.0,9033.0,5291.0,-57.0,-75.0,-64.0,-61.0,317.0,437.0,529.0,695.0
33825330,1-10,-63.0,8188.0,8994.0,5262.0,-58.0,-75.0,-64.0,-61.0,358.0,1191.0,574.0,735.0
33825344,1-10,-24.0,8130.0,9072.0,5409.0,-58.0,-76.0,-64.0,-57.0,379.0,882.0,541.0,415.0
33825359,1-10,93.0,8335.0,9124.0,5438.0,-57.0,-75.0,-62.0,-61.0,276.0,1298.0,460.0,336.0
33825373,1-10,-63.0,8130.0,9202.0,5350.0,-59.0,-76.0,-62.0,-61.0,309.0,514.0,405.0,376.0
33825387,1-10,-180.0,8130.0,9072.0,5467.0,-59.0,-76.0,-64.0,-61.0,318.0,1397.0,462.0,358.0
33825401,1-10,14.0,8042.0,9072.0,5409.0,-58.0,-75.0,-64.0,-61.0,195.0,1307.0,636.0,385.0
33825415,1-10,-297.0,8042.0,9124.0,5467.0,-58.0,-75.0,-62.0,-61.0,286.0,1421.0,415.0,408.0
33825430,1-10,-180.0,8218.0,8994.0,5467.0,-58.0,-75.0,-64.0,-61.0,286.0,1299.0,504.0,398.0
33825444,1-10,14.0,8071.0,8994.0,5409.0,-58.0,-76.0,-64.0,-61.0,163.0,1371.0,536.0,426.0
33825458,1-10,-141.0,8305.0,9033.0,5409.0,-58.0,-75.0,-64.0,-61.0,306.0,1253.0,484.0,414.0
