timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
493531653,10,2852.8405545927208,6476.240976748711,8395.926873142498,-467.77838919459725,-58.0,-75.0,-70.0,-56.0
493531665,10,3687.180472804152,6930.911070780398,8666.369661742148,-8.33800350262697,-58.0,-75.0,-69.0,-57.0
493531678,10,3773.466149773071,5580.399116643244,8480.255440915686,578.0603621730382,-59.0,-75.0,-69.0,-58.0
493531693,10,4282.271989673613,5388.42354547364,9351.47352613061,499.3437982501287,-60.0,-74.0,-69.0,-51.0
493531705,10,3685.171753554503,4719.431681848479,9756.278784392674,-17.434977578475337,-58.0,-69.0,-66.0,-56.0
493531718,10,3570.704400077534,4767.654469304531,8231.843112645121,-199.37120359955003,-59.0,-70.0,-65.0,-51.0
493531730,10,3990.439737582005,6979.311907417735,9981.982651202912,-1.862258953168044,-59.0,-71.0,-65.0,-50.0
493531743,10,3787.792141230069,6741.6,9025.467531247064,-349.3688925081433,-58.0,-68.0,-64.0,-50.0
493531758,10,3774.3577827547592,6920.758325654863,8634.66348195329,-187.546511627907,-58.0,-68.0,-68.0,-48.0
493531772,10,4126.541482300885,7908.15822015001,9156.333204670462,-205.61600928074245,-59.0,-68.0,-66.0,-50.0
493531786,10,3664.310611928737,7382.895082389289,9849.190507957686,-377.9955947136564,-53.0,-70.0,-68.0,-50.0
493531801,10,1579.4820130475302,9673.953582649234,10108.508918406073,-403.6389548693587,-53.0,-68.0,-67.0,-50.0
493531816,10,3841.757604928765,8314.137530033639,8716.956802063185,-382.5544082605242,-57.0,-68.0,-67.0,-49.0
493531831,10,3679.7479306267246,7137.138410153641,8339.860877985797,-238.8261851015801,-59.0,-69.0,-69.0,-49.0
493531846,10,3648.062463851938,7164.764946548767,8407.803345959595,-248.6605504587156,-59.0,-69.0,-67.0,-49.0
493531860,10,3546.643049672699,9723.152274557166,8422.789629986355,-316.7735490009515,-59.0,-69.0,-68.0,-50.0
493531873,10,3429.58188976378,7103.788050646267,8164.191775210945,-1.3767820773930757,-59.0,-68.0,-64.0,-44.0
493531888,10,3574.1684128831976,7888.400506246428,8601.710872630425,-303.76733576642334,-59.0,-68.0,-67.0,-50.0
493531902,10,3698.6903831118057,5636.013237584357,8465.253774034642,-290.31494483450354,-59.0,-68.0,-67.0,-50.0
493531917,10,3765.081871345029,8000.23501179533,8434.298022825913,-314.0839622641509,-59.0,-70.0,-68.0,-49.0
493531931,10,3745.5463182897865,7127.337999345122,8511.08546737493,-262.38250790305585,-58.0,-67.0,-67.0,-49.0
493531945,10,3703.758073987082,9606.166004684794,9780.240680487124,-286.5782178217822,-59.0,-69.0,-64.0,-47.0
493531960,10,3543.232160030775,8037.285992850179,8660.831272012449,-333.4411247803164,-58.0,-67.0,-68.0,-49.0
493531974,10,3624.74102116094,6980.380743382253,8655.051502843216,-282.1091617933723,-58.0,-68.0,-68.0,-49.0
493531988,10,3503.98225308642,7832.455659697188,8634.15023549134,-381.3428345209818,-58.0,-67.0,-67.0,-49.0
493532000,10,3494.544824932666,6920.322789259103,8756.476683937824,-239.6375990939977,-58.0,-67.0,-68.0,-49.0
493532014,10,3636.1452728670256,8067.1821793416575,9995.374394785847,-304.8800366300366,-58.0,-67.0,-68.0,-49.0
