Label,Timestamp,AP SSID,BSSID,Rssi,Distance (mm),StdDev (mm),timeStemp,mcOn
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,4735,63,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,4735,63,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7744,97,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,4735,63,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7744,97,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,5104,85,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP2,24:29:34:e1:ef:d4,-68,4735,63,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7744,97,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,5104,85,6659872272,true
6-2,2025-01-03 16:04:41.880,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-126,111,6659872272,true
6-2,2025-01-03 16:04:41.989,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,4802,77,6659872382,true
6-2,2025-01-03 16:04:41.989,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,4802,77,6659872382,true
6-2,2025-01-03 16:04:41.989,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7878,97,6659872382,true
6-2,2025-01-03 16:04:41.989,MCSLab RTT AP2,24:29:34:e1:ef:d4,-69,4802,77,6659872382,true
6-2,2025-01-03 16:04:41.989,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-62,7878,97,6659872382,true
